date,Open,High,Low,Close,Volume
2022-09-01,1554.25,1599.51,1512.83,1586.23,16434276817.0
2022-09-02,1586.1,1650.0,1546.2,1575.69,17708478709.0
2022-09-03,1575.81,1582.69,1534.54,1557.7,9516825994.0
2022-09-04,1557.55,1583.52,1540.59,1579.04,8884144998.0
2022-09-05,1578.97,1631.44,1557.04,1618.01,13060541168.0
2022-09-06,1617.87,1686.82,1554.03,1559.28,22946059125.0
2022-09-07,1558.92,1657.68,1489.98,1629.92,19560363854.0
2022-09-08,1629.61,1664.52,1594.31,1635.73,17621046717.0
2022-09-09,1635.72,1746.87,1630.51,1719.21,20242323690.0
2022-09-10,1719.38,1789.86,1706.94,1774.69,13130928217.0
2022-09-11,1774.73,1789.98,1719.01,1766.95,12464301922.0
2022-09-12,1766.97,1783.56,1692.45,1716.71,17688391310.0
2022-09-13,1716.65,1761.04,1561.06,1574.71,23066821734.0
2022-09-14,1574.4,1649.44,1552.88,1639.14,17897150206.0
2022-09-15,1639.12,1655.55,1457.69,1472.68,26946275878.0
2022-09-16,1472.85,1483.21,1404.31,1433.73,16764804299.0
2022-09-17,1433.64,1476.22,1408.79,1468.97,10798098671.0
2022-09-18,1468.9,1470.15,1325.48,1334.72,15762284723.0
2022-09-19,1334.71,1392.94,1279.0,1376.17,18712714223.0
2022-09-20,1376.23,1385.0,1312.4,1322.8,14722317220.0
2022-09-21,1322.74,1412.0,1220.0,1245.65,20643507800.0
2022-09-22,1245.36,1348.87,1237.0,1326.43,18461527259.0
2022-09-23,1326.14,1359.99,1261.9,1326.82,18771106339.0
2022-09-24,1327.24,1349.31,1306.29,1317.25,12098209717.0
2022-09-25,1317.49,1337.26,1269.41,1294.63,11802651633.0
2022-09-26,1294.65,1341.0,1278.24,1336.61,16034549271.0
2022-09-27,1336.45,1400.51,1303.66,1327.92,17870598937.0
2022-09-28,1327.87,1355.34,1253.65,1336.93,18994979566.0
2022-09-29,1336.92,1351.85,1288.12,1336.02,13796915736.0
2022-09-30,1336.04,1373.46,1315.0,1328.95,14250100093.0
2022-10-01,1328.74,1333.99,1302.65,1311.76,6227961237.0
2022-10-02,1311.79,1318.0,1269.69,1277.02,7578351650.0
2022-10-03,1276.84,1330.24,1262.45,1323.31,10153070907.0
2022-10-04,1323.44,1370.43,1318.82,1362.06,10139774963.0
2022-10-05,1362.1,1364.93,1316.54,1352.48,9774451820.0
2022-10-06,1352.37,1384.41,1345.0,1352.24,12033514861.0
2022-10-07,1352.18,1362.14,1317.54,1331.14,10061619355.0
2022-10-08,1331.12,1337.61,1303.76,1315.71,5804676208.0
2022-10-09,1315.71,1329.33,1307.21,1323.41,5486230123.0
2022-10-10,1323.27,1338.41,1287.66,1290.06,8794491050.0
2022-10-11,1289.94,1297.95,1267.0,1279.94,9274845260.0
2022-10-12,1279.87,1306.72,1274.73,1294.33,8355638578.0
2022-10-13,1294.21,1301.85,1190.0,1286.96,17499038202.0
2022-10-14,1286.89,1344.4,1283.26,1296.36,13113767755.0
2022-10-15,1296.42,1302.14,1263.6,1275.09,6798512624.0
