timestamp,close,MACD,ADX,EMA
2024-08-16 01:56:00+00:00,57470.947,"MACDVal(macd=16.65648455077462, signal=None, histogram=None)","ADXVal(adx=None, plus_di=54.50320991449425, minus_di=17.1532177605005)",57328.63788406908
2024-08-16 01:57:00+00:00,57470.947,"MACDVal(macd=26.311646910042327, signal=None, histogram=None)","ADXVal(adx=None, plus_di=54.503209914494256, minus_di=17.1532177605005)",57342.19113320536
2024-08-16 01:58:00+00:00,57470.947,"MACDVal(macd=33.576384976018744, signal=None, histogram=None)","ADXVal(adx=25.962564675800884, plus_di=54.503209914494256, minus_di=17.153217760500503)",57354.45359670961
2024-08-16 01:59:00+00:00,57470.947,"MACDVal(macd=38.88549445818353, signal=None, histogram=None)","ADXVal(adx=27.83121827173208, plus_di=54.503209914494256, minus_di=17.1532177605005)",57365.54820654679
2024-08-16 02:00:00+00:00,57566.5165,"MACDVal(macd=50.22569140908308, signal=None, histogram=None)","ADXVal(adx=30.498461443626926, plus_di=64.13276878265548, minus_di=13.522677674206584)",57384.68804401852
2024-08-16 02:01:00+00:00,57566.5165,"MACDVal(macd=58.538088548288215, signal=None, histogram=None)","ADXVal(adx=32.97518724610071, plus_di=63.54621257978836, minus_di=13.398999707080927)",57402.005039826276
2024-08-16 02:02:00+00:00,57566.5165,"MACDVal(macd=64.38354968528438, signal=None, histogram=None)","ADXVal(adx=35.275004062683514, plus_di=62.92641861879691, minus_di=13.268313411790746)",57417.67279793806
2024-08-16 02:03:00+00:00,57566.5165,"MACDVal(macd=68.22961126344308, signal=None, histogram=None)","ADXVal(adx=37.4105482495104, plus_di=62.27232869476299, minus_di=13.130395661153273)",57431.848388610626
2024-08-16 02:04:00+00:00,57466.469,"MACDVal(macd=62.484364793184795, signal=46.587924066033644, histogram=15.896440727151152)","ADXVal(adx=36.21832291163146, plus_di=48.73935873402014, minus_di=32.008824823191254)",57435.145589695334
2024-08-16 02:05:00+00:00,57466.469,"MACDVal(macd=57.27103078037908, signal=48.72454540890273, histogram=8.54648537147635)","ADXVal(adx=35.11125652645816, plus_di=48.73935873402014, minus_di=32.008824823191254)",57438.12877162911
2024-08-16 02:06:00+00:00,57466.469,"MACDVal(macd=52.53384851073497, signal=49.48640602926918, histogram=3.0474424814657866)","ADXVal(adx=34.08326631165439, plus_di=48.739358734020136, minus_di=32.008824823191254)",57440.82784099777
2024-08-16 02:07:00+00:00,57458.87,"MACDVal(macd=47.6175165500681, signal=49.11262813342897, histogram=-1.4951115833608668)","ADXVal(adx=32.62218062780553, plus_di=45.16101851862965, minus_di=34.32817779560813)",57442.54614185513
2024-08-16 02:08:00+00:00,57437.18,"MACDVal(macd=41.492783343848714, signal=47.58865917551292, histogram=-6.095875831664209)","ADXVal(adx=30.97973140365198, plus_di=42.65630965097716, minus_di=35.163867443283706)",57442.03508072607
2024-08-16 02:09:00+00:00,57437.18,"MACDVal(macd=36.22135096468264, signal=45.315197533346876, histogram=-9.093846568664233)","ADXVal(adx=29.454599981223684, plus_di=42.65630965097714, minus_di=35.163867443283706)",57441.572692085494
2024-08-16 02:10:00+00:00,57370.4965,"MACDVal(macd=26.359050941522582, signal=41.52396821498202, histogram=-15.164917273459437)","ADXVal(adx=28.249658788124513, plus_di=35.61362952996101, minus_di=45.868500488591984)",57434.80353093449
2024-08-16 02:11:00+00:00,57370.4965,"MACDVal(macd=18.331789659088827, signal=36.88553250380338, histogram=-18.553742844714556)","ADXVal(adx=27.130784823103852, plus_di=35.61362952996101, minus_di=45.86850048859198)",57428.67905179787
2024-08-16 02:12:00+00:00,57361.3925,"MACDVal(macd=11.107470538561756, signal=31.72992011075506, histogram=-20.622449572193304)","ADXVal(adx=26.54135997994427, plus_di=33.49619511801406, minus_di=49.086928414881186)",57422.27080876951
2024-08-16 02:13:00+00:00,57402.6865,"MACDVal(macd=8.614918856794247, signal=27.106919859962897, histogram=-18.49200100316865)","ADXVal(adx=24.91590532890397, plus_di=40.62710233765447, minus_di=43.823555396678685)",57420.40563650575
